149 = { "Adrianople" "Adrianople" }
151 = { "Konstantinoupolis" "Konstantinoupolis" }
316 = { "Optimatoi" "Nikomedeia" }
317 = { "Opsikion" "Prussa" }
318 = { "Smyrna" "Smyrna" }
319 = { "Mylasa" "Mougla" }
322 = { "Kotyaion" "Kotyaion" }
323 = { "Ikonion" "Iconion" }
324 = { "Laranda" "Laranda" }
325 = { "Paphlagonia" "Timonio" }
326 = { "Galatia" "Ancyra" }
327 = { "Cilicia" "Atana" }
328 = { "Sinope" "Sinop" }
329 = { "Sebasteia" "Sebastopolis" }
330 = { "Trebizond" "Trapezous" }
331 = { "Theodosiopolis" "Theodosiopolis" }
1764 = { "Mesambria" "Mesambria" }
1765 = { "Sardike" "Sardike" }
1846 = { "Armeniakon" "Amasea" }
1848 = { "Baris" "Baris" }
2296 = { "Abydos" "Pigai" }
2297 = { "Thrakesion" "Magnesia" }
2298 = { "Attalia" "Attalia" }
2299 = { "Boukellarion" "Klaudiopol" }
2300 = { "Cappadocia" "Tavium" }
2301 = { "Charsianon" "Caesarea" }
2302 = { "Seleucia" "Kermarage" }
2304 = { "Chaldia" "Amissos" }
2305 = { "Acilisene" "Acilisene" }
2750 = { "Philippopolis" "Philippopolis" }
3001 = { "Skoupoi" "Skoupoi" }
4307 = { "Colonia" "Colonia" }
4308 = { "Laodicea" "Laodicea" }
4309 = { "Tralles" "Tralles" }
4310 = { "Tephrike" "Tephrike" }
4311 = { "Anatolikon" "Polydorion" }
4312 = { "Dorylaeum" "Dorylaeum" }
4313 = { "Gangra" "Gangra" }
4314 = { "Justinianopolis" "Justinianopolis" }
4315 = { "Eudoxia" "Eudoxia" }
4705 = { "Komotini" "Komotini" }
4702 = { "Serres" "Serres" }
4706 = { "Aegyssus" "Aegyssus" }
4703 = { "Pautalia" "Pautalia" }
4780 = { "Lychnidos" "Lychnidos" }
143 = { "Aulónas" "Aulónas" }
4750 = "Kroai"
4175 = "Lissos"
4174 = "Dyrrhachion"
1766 = "Dardania"
1827 = "Ras"
159 = "Dorostolon"
2746 = "Vidyne"
147 = "Thessalia"                       # Thessaly
226 = "Stylos"                          # Gibraltar
285 = "Theodosia"                       # Caffa
340 = "Konstantinos"                    # Constantine
341 = "Karchedon"                       # Tunis
351 = "Veskera"                         # Biskra
352 = "Kapsa"                           # Gafsa
353 = "Gergis"                          # Gabes
354 = "Leptis Magna"                    # Tripoli
355 = "Charax"                          # Sirt
356 = "Pentapolis"                      # Benghazi
357 = "Darnis"                          # Darnah
358 = "Alexandreia"                     # Alexandria
360 = "Kaine"                           # Qus
363 = "Tamiathis"                       # Damietta
396 = "Tylos"                           # Bahrain
407 = "Kallinikos"                      # Ar Raqqa
418 = "Amida"                           # Diyarbakir
481 = "Lanthanisi"                 		# Bermuda
482 = { "Bachames" "Brasiai" }          # Bahamas
483 = { "Kaikos" "Antigoneia" }         # Turks Islands
484 = { "Avana" "Tousklon" }            # Havana
485 = { "Arbephos" "Geilyn" }           # Moron
486 = { "Iasonida" "Nkouantanamon" }    # Guantanamo
487 = { "Zameika" "Lerna" }             # Jamaica
488 = { "Nea Syrakousai" "Sikeon" }     # Les Cayes
489 = { "Nea Katani" "Thyreai" }        # Tortuga
490 = { "Eryx" "Pherai" }  		        # Barahonas
491 = { "Kardia" "Xanthos" }            # Curacao
492 = { "Metis" "Iolkos" }              # Borikén
493 = { "Argia" "Skillous" }            # St. Thomas
494 = { "Phrixa" "Chiloune" }           # St. Kitts
495 = { "Melite" "Pteleon" }            # Antigua
496 = { "Nede" "Vareine" }              # Guadelupe
497 = { "Amaltheia" "Diaskourios" }     # Dominica
498 = { "Khloris" "Ophrynion" }         # Martinique
499 = { "Theisoa" "Anthele" }     		# St. Lucia
500 = { "Hagnon" "Thapsakos" }          # St. Vincent
501 = { "Glauke" "Stymphalos" }         # Barbados
502 = "Eudora"                          # Trinidad
835 = "Panamas"                         # Panama
836 = "Chorte"                          # Chorotega
837 = "Aresia"                          # Nicaragua
838 = "Latoy"                           # Mosquito
839 = "Piplan"                          # Pipil
840 = { "Khondrous" "Tegus" }           # Honduras
842 = "Tikal"                           # Petén
846 = "Chichen Itza"                    # Sotuta
848 = "Mictlan"                         # Tohancapan
