147 = "Thessalia"			# Thessaly
149 = "Adrianople"			# Edirne
151 = "Konstantinoupolis"	# Constantinople
226 = "Stylos"				# Gibraltar
285 = "Theodosia"			# Caffa
316 = "Nikomedia"			# Kocaeli
340 = "Konstantinos"		# Constantine
341 = "Karchedon"			# Tunis
351 = "Veskera"				# Biskra
352 = "Kapsa"				# Gafsa
353 = "Gergis"				# Gabes
354 = "Leptis Magna"		# Tripoli
355 = "Charax"				# Sirt
356 = "Pentapolis"			# Benghazi
357 = "Darnis"				# Darnah
358 = "Alexandreia"			# Alexandria
360 = "Kaine"				# Qus
363 = "Tamiathis"			# Damietta
396 = "Tylos"				# Bahrain
407 = "Kallinikos"			# Ar Raqqa
418 = "Amida"				# Diyarbakir
481 = "Lanthanon Nisi"		# Bermuda
482 = "Bachames"			# Bahamas
483 = "Kaikos"				# Turks Islands
484 = "Avana"				# Havana
485 = "Arbephos"			# Moron
486 = "Nkouantanamon"		# Guantanamo
487 = "Zameika"				# Jamaica
488 = "Nea Syrakousai"		# Les Cayes
489 = "Nea Katani"			# Tortuga
490 = "Neo Eryx"			# Barahonas
491 = "Kardia"				# Curacao
492 = "Metis"				# Borikén
493 = "Argia"				# St. Thomas
494 = "Phrixa"				# St. Kitts
495 = "Melite"				# Antigua
496 = "Nede"				# Guadelupe
497 = "Amaltheia"			# Dominica
498 = "Khloris"				# Martinique
499 = "Mikra Theisoa"		# St. Lucia
500 = "Hagnon"				# St. Vincent
501 = "Glauke"				# Barbados
502 = "Eudora"				# Trinidad
835 = "Panamas"				# Panama
836 = "Chorte"				# Chorotega
837 = "Aresia"				# Nicaragua
838 = "Latoy"				# Mosquito
839 = "Piplan"				# Pipil
840 = "Vacaniopolis"		# Honduras
842 = "Tikal"				# Petén
846 = "Chichen Itza"		# Sotuta
848 = "Mictlan"				# Tohancapan
849 = "Akapoulchon"			# Tlapanec
852 = "Tenochtitlan"		# Mexico
855 = "Basil"				# Huichol
856 = "Zachatek"			# Zacatecas
857 = "Huachi"				# Guachichil
858 = "Leiondiopolis"		# Tamaulipas
859 = "Sina"				# Sinaloa
860 = "Halantion"			# Tepehuan
861 = "Lyra"				# Coahuila
862 = "Yamata"				# Yaqui
863 = "Charakphos" 			# Suma
864 = "Dimidos"				# Concho
865 = "Iolkagre"			# Cochimi
866 = "Neo Thrake"			# Gyaucura
883 = "Sitanes"				# Lipan
884 = "Emyltis"				# Karankawa
885 = "Thorapeze"			# Comanche
886 = "Herakledon"			# Waco
887 = "Keia"				# Tonkawa
888 = "Byzaia"				# Atakapa
892 = "Orchetria"			# Wichita
893 = "Neo Antioch"			# Chitimacha
894 = "Astykos"				# Caddo
895 = "Himia"				# Arkansas
918 = "Neo Makedon"			# Tennessee
919 = "Sitagas"				# Chickasaw
920 = "Kyraizi"				# Choctaw
921 = "Chytirores"			# Bayougoula
922 = "Nysepios"			# Mobile
923 = "Elys"				# Pensacola
924 = "Thouroi"				# Alabama
925 = "Iasydon"				# Tuskegee
926 = "Tylousa"				# Seminole
927 = "Ankon"				# Timucua
928 = "Pokis"				# Apalachee
929 = "Vrela"				# Muskogee
930 = "Odasus"				# Yamasee
931 = "Terma"				# Chiaha
932 = "Illion"				# Santee
933 = "Lephous"				# Catawba
934 = "Kanamous"			# Shawnee
935 = "Ephis"				# Cherokee
936 = "Chaeus"				# Cheraw
937 = "Oinos"				# Tuscarora
938 = "Rhogadia"			# Pamlico
940 = "Byzox"				# Kentucky
941 = "Eiton"				# Cumberland
